,index,GameID,gametime,name,Minutes,Start,active,DKP,Team,Opp,home,team_pts,opp_pts,dk_sal,dk_pos,dk_change,Stats,DoubleD,min_7d_avg,min_90d_avg,dk_avg_90_days,opppts_avg,dk_per_min,DKP_trans,dk_sal_increase,dk_sal_decrease,dk_std_90_days,dk_max_30_days
30252,2016-03-21 00:00:00,20160321-sas-cha,19.0,Troy Daniels,,,,,cha,sas,H,,,3000.0,1.0,0.0,,,13.099999999999984,12.885416666666663,10.4375,94.54460093896714,0.8100242522231207,,False,False,9.154545675331962,13.75
758,2016-03-21 00:00:00,20160321-sac-chi,20.0,Cristiano Felicio,,,,,chi,sac,H,,,3100.0,5.0,-100.0,,,13.887500000000008,7.150925925925928,6.611111111111111,110.63744075829383,0.9245112003107597,,False,True,7.468670949481841,29.0
5146,2016-03-21 00:00:00,20160321-sac-chi,20.0,Mike Dunleavy,,,,,chi,sac,H,,,3500.0,3.0,-200.0,,,21.083333333333332,23.332407407407395,15.569444444444445,110.63744075829383,0.6672883844597012,,False,True,7.519976120286101,27.5
8405,2016-03-21 00:00:00,20160321-sac-chi,20.0,Taj Gibson,,,,,chi,sac,H,,,5300.0,4.0,200.0,,,25.137499999999985,29.376016260162594,24.573170731707318,110.63744075829383,0.8365045319310872,,True,False,8.297071000969073,41.0
9949,2016-03-21 00:00:00,20160321-sac-chi,20.0,Doug McDermott,,,,,chi,sac,H,,,4100.0,3.0,0.0,,,29.495833333333348,24.29308943089431,15.347560975609756,110.63744075829383,0.6317665367045397,,False,False,8.847117830256305,35.75
10157,2016-03-21 00:00:00,20160321-sac-chi,20.0,Jordan Crawford,,,,,chi,sac,H,,,,,,,,,,,110.63744075829383,,,False,False,,
10504,2016-03-21 00:00:00,20160321-sac-chi,20.0,Derrick Rose,,,,,chi,sac,H,,,5800.0,1.0,300.0,,,29.605555555555565,31.172916666666666,30.90625,110.63744075829383,0.9914455657287977,,True,False,8.76571170030724,40.75
11414,2016-03-21 00:00:00,20160321-sac-chi,20.0,Jimmy Butler,,,,,chi,sac,H,,,7700.0,2.0,0.0,,,31.837500000000002,37.1283950617284,40.925925925925924,110.63744075829383,1.1022810401010839,,False,False,12.71106703118291,48.25
13029,2016-03-21 00:00:00,20160321-sac-chi,20.0,Justin Holiday,,,,,chi,sac,H,,,3200.0,2.0,-200.0,,,18.758333333333326,13.742424242424239,8.931818181818182,110.63744075829383,0.6499448732083795,,False,True,8.383367113269236,28.0
16271,2016-03-21 00:00:00,20160321-sac-chi,20.0,Joakim Noah,,,,,chi,sac,H,,,5000.0,5.0,0.0,,,,19.475,19.5,110.63744075829383,1.0012836970474968,,False,False,15.167124535213214,
